node1,node2,experimental
FASN,ADRB3,0
FASN,PRKDC,0.345
FASN,GYS1,0
FASN,AR,0
FASN,GSK3B,0.105
FASN,PPARD,0
FASN,PDK1,0
FASN,MTOR,0.076
FASN,PTPN11,0.497
FLT3,CDKN1B,0
FLT3,AURKB,0
FLT3,BRD4,0.059
FLT3,JAK2,0.122
FLT3,MDM2,0
FLT3,CASP3,0
FLT3,ERBB2,0.277
FLT3,CDK2,0
FLT3,IL1B,0
FLT3,PIM2,0
FLT3,BCL2L1,0
FLT3,SRC,0.331
FLT3,VAV1,0.152
FLT3,MTOR,0.097
FLT3,HSP90AB1,0.089
FLT3,TLR9,0.09
FLT3,LCK,0.201
FLT3,SYK,0.428
FLT3,PIK3CB,0.097
FLT3,PIK3CD,0.097
FLT3,PIK3CA,0.097
FLT3,PTPN11,0.424
FLT4,MERTK,0.397
FLT4,PTPN11,0.295
FLT4,MTOR,0.097
FLT4,PIK3CG,0.306
FLT4,AXL,0.4
FLT4,KIT,0.395
FLT4,NTRK1,0.4
FLT4,RET,0.391
FLT4,ERBB2,0.456
FLT4,PIK3CB,0.306
FLT4,PIK3CD,0.306
FLT4,SRC,0.154
FLT4,PIK3CA,0.306
GRK7,ADRB2,0.151
GRK7,MMP1,0
GRK7,CXCR1,0.151
GRK7,CXCR2,0.151
GRK7,CCR1,0.151
GSK3A,LRRK2,0.335
GSK3A,HSP90AB1,0.237
GSK3A,MDM2,0.103
GSK3A,RPS6KA3,0.333
GSK3A,JUN,0.057
GSK3A,RPS6KA5,0.376
GSK3A,VAV1,0.056
GSK3A,BCL2L1,0.27
GSK3A,GYS1,0.106
GSK3A,PRKCG,0.474
GSK3A,MTOR,0.104
GSK3A,PRKCB,0.474
GSK3A,PRKCA,0.474
GSK3A,HDAC6,0.338
GSK3A,PRKCD,0.505
GSK3A,PDPK1,0.145
GSK3A,GSK3B,0.335
GSK3A,WNT3A,0.153
GSK3B,MAPK1,0.351
GSK3B,AURKA,0.689
GSK3B,GSK3A,0.335
GSK3B,RPS6KB1,0.091
GSK3B,CDKN1B,0.059
GSK3B,NR3C1,0.077
GSK3B,PER2,0.148
GSK3B,MDM2,0.345
GSK3B,MMP7,0
GSK3B,CREBBP,0.12
GSK3B,IL1B,0.056
GSK3B,PIK3CA,0.104
GSK3B,IGF1R,0.056
GSK3B,ERBB2,0.107
GSK3B,WNT3A,0.153
GSK3B,PPARG,0.077
GSK3B,BRAF,0
GSK3B,LRRK2,0.532
GSK3B,MAP2K1,0.178
GSK3B,BCL2L1,0.27
GSK3B,INSR,0.056
GSK3B,FASN,0.105
GSK3B,PRKCB,0.608
GSK3B,CASP3,0.068
GSK3B,PRKDC,0.317
GSK3B,GYS1,0.783
GSK3B,PRKCA,0.285
GSK3B,PDK1,0.158
GSK3B,RPS6KA5,0.376
GSK3B,CASP8,0.068
GSK3B,MAP3K1,0.324
GSK3B,HDAC1,0.149
GSK3B,PARP1,0.105
GSK3B,RPS6KA3,0.333
GSK3B,PTGS2,0.077
GSK3B,PTPN11,0.299
GSK3B,PTPN1,0.298
GSK3B,SRC,0.077
GSK3B,HDAC6,0.338
GSK3B,HSP90AB1,0.216
GSK3B,PDPK1,0.145
GSK3B,MTOR,0.108
GSK3B,PPP2CA,0.365
GSK3B,AR,0.482
GSK3B,PPP1CC,0.435
GSK3B,PRKCZ,0.653
GSK3B,JUN,0.691
GSTM1,TRPV4,0
GSTM1,ABCB1,0
GYS1,PYGM,0.154
GYS1,PYGL,0.104
GYS1,GSK3A,0.106
GYS1,INSR,0.106
GYS1,FASN,0
GYS1,PFKFB3,0
GYS1,PPP1CC,0.81
GYS1,GSK3B,0.783
HDAC1,RPS6KB1,0.151
HDAC1,CDKN1B,0
HDAC1,MAPK14,0.299
HDAC1,NR3C1,0.859
HDAC1,SIRT2,0.183
HDAC1,MDM2,0.675
HDAC1,CREBBP,0.58
HDAC1,MAPK3,0.078
HDAC1,BRD4,0.171
HDAC1,CDK2,0.104
HDAC1,ERBB2,0
HDAC1,PPARG,0.505
HDAC1,BCL2L1,0
HDAC1,F2,0
HDAC1,TERT,0
HDAC1,PPARD,0.505
HDAC1,CASP3,0
HDAC1,GSK3B,0.149
HDAC1,PGR,0.078
HDAC1,HDAC6,0.368
HDAC1,PPP1CC,0.7
HDAC1,MTOR,0.103
HDAC1,PARP1,0.682
HDAC1,PTGS2,0.27
HDAC1,JUN,0.476
HDAC1,HSP90AB1,0.059
HDAC1,CDK9,0
HDAC1,MAPK8,0.27
HDAC1,CHEK1,0.057
HDAC1,SRC,0.078
HDAC1,SYK,0.298
HDAC1,AR,0.762
HDAC1,CDK1,0.104
HDAC1,HDAC2,0.992
HDAC2,AURKA,0.27
HDAC2,NR3C1,0.298
HDAC2,SIRT2,0.183
HDAC2,MDM2,0.27
HDAC2,CREBBP,0.58
HDAC2,MAPK3,0.127
HDAC2,BRD4,0.171
HDAC2,CDK2,0.104
HDAC2,PPARG,0.078
HDAC2,F2,0
HDAC2,PPARD,0.646
HDAC2,CASP3,0
HDAC2,HDAC6,0.368
HDAC2,PPP1CC,0.119
HDAC2,PARP1,0.501
HDAC2,JUN,0.273
HDAC2,HDAC1,0.992
HDAC2,AR,0.298
HDAC2,CDK1,0.104
HDAC2,CHEK1,0.057
HDAC6,MAPK1,0.495
HDAC6,AURKA,0.27
HDAC6,GSK3A,0.338
HDAC6,NR3C1,0.298
HDAC6,SIRT2,0.562
HDAC6,CREBBP,0.171
HDAC6,MAPK3,0.495
HDAC6,BRD4,0.171
HDAC6,ERBB2,0.13
HDAC6,LRRK2,0.519
HDAC6,CASP3,0
HDAC6,GSK3B,0.338
HDAC6,JUN,0.117
HDAC6,MTOR,0.103
HDAC6,AR,0.078
HDAC6,PRKCA,0.486
HDAC6,HDAC2,0.368
HDAC6,JAK2,0.298
HDAC6,CDK1,0.292
HDAC6,HDAC1,0.368
HDAC6,PPP1CC,0.308
HDAC6,HSP90AB1,0.76
HMGCR,CYP51A1,0
HMGCR,CREBBP,0
HMGCR,PPARG,0
HMGCR,ABCB1,0.126
HMGCR,CYP19A1,0
HMGCR,FASN,0
HSD11B1,NR3C1,0.057
HSD11B1,REN,0.096
HSD11B1,PPARG,0.057
HSD11B1,HSD11B2,0
HSD11B1,SERPINA6,0
HSD11B1,NR3C2,0.057
HSD11B1,CYP19A1,0.056
HSD11B2,NR3C1,0.056
HSD11B2,REN,0
HSD11B2,AURKB,0
HSD11B2,SERPINA6,0
HSD11B2,CYP19A1,0.072
HSD11B2,HSD11B1,0
HSD11B2,NR3C2,0.056
HSP90AB1,CYP51A1,0.123
HSP90AB1,MAPK1,0.227
HSP90AB1,GSK3A,0.237
HSP90AB1,RPS6KB1,0.247
HSP90AB1,MAPK14,0.288
HSP90AB1,NR3C1,0.821
HSP90AB1,FLT3,0.089
HSP90AB1,MDM2,0.27
HSP90AB1,MAPK3,0.299
HSP90AB1,CDK2,0.335
HSP90AB1,IGF1R,0.282
HSP90AB1,ERBB2,0.713
HSP90AB1,PAK1,0.162
HSP90AB1,PPARG,0.089
HSP90AB1,BRAF,0.383
HSP90AB1,LRRK2,0.806
HSP90AB1,BCL2L1,0
HSP90AB1,SF3B3,0.588
HSP90AB1,PRKCE,0.486
HSP90AB1,TERT,0.11
HSP90AB1,CASP3,0.075
HSP90AB1,AURKB,0.743
HSP90AB1,GSK3B,0.216
HSP90AB1,PGR,0.182
HSP90AB1,MAPK11,0.227
HSP90AB1,HDAC6,0.76
HSP90AB1,NR1I2,0.255
HSP90AB1,NR3C2,0.24
HSP90AB1,MTOR,0.092
HSP90AB1,PARP1,0
HSP90AB1,JUN,0.094
HSP90AB1,HDAC1,0.059
HSP90AB1,ABCB1,0.091
HSP90AB1,MAP3K14,0.38
HSP90AB1,MAP3K6,0.425
HSP90AB1,ERN1,0.161
HSP90AB1,ALK,0.237
HSP90AB1,CDK9,0.638
HSP90AB1,JAK2,0.362
HSP90AB1,CDK1,0.249
HSP90AB1,CHEK1,0.431
HSP90AB1,IKBKB,0.656
HSP90AB1,AR,0.285
HSP90AB1,SRC,0.488
HTR6,MTOR,0.345
IARS,SF3B3,0
IARS,IMPDH2,0
IGF1R,MAPK1,0.148
IGF1R,RPS6KB1,0.119
IGF1R,CDKN1B,0.283
IGF1R,MAPK14,0.148
IGF1R,MDM2,0.88
IGF1R,MAPK3,0.148
IGF1R,IL1B,0.056
IGF1R,PIK3CA,0.146
IGF1R,MAPK11,0.148
IGF1R,CASP8,0.063
IGF1R,MAP2K1,0.233
IGF1R,PTGS2,0.148
IGF1R,PPARG,0.077
IGF1R,HSP90AB1,0.282
IGF1R,MAPK8,0.101
IGF1R,GSK3B,0.056
IGF1R,JUN,0.057
IGF1R,BCL2L1,0
IGF1R,CYP19A1,0.056
IGF1R,CASP3,0.063
IGF1R,PIK3CG,0.143
IGF1R,PGR,0.077
IGF1R,ERBB2,0.534
IGF1R,AR,0.077
IGF1R,MTOR,0.187
IGF1R,JAK1,0.282
IGF1R,PIK3CD,0.202
IGF1R,PIK3CB,0.146
IGF1R,JAK2,0.471
IGF1R,PRKCD,0.275
IGF1R,SRC,0.47
IGF1R,INSR,0.854
IGF1R,PTPN1,0.957
IGF1R,PTPN11,0.712
IKBKB,MAPK14,0.351
IKBKB,MDM2,0.056
IKBKB,CREBBP,0.75
IKBKB,PRKCQ,0.848
IKBKB,IL1B,0.056
IKBKB,PPARG,0.077
IKBKB,BCL2L1,0
IKBKB,PRKCB,0.688
IKBKB,PRKCE,0.327
IKBKB,EIF2AK3,0.213
IKBKB,CASP3,0.103
IKBKB,PRKDC,0.317
IKBKB,NOS2,0.077
IKBKB,PDPK1,0.145
IKBKB,CASP8,0.317
IKBKB,TLR9,0.089
IKBKB,MTOR,0.519
IKBKB,PARP1,0.268
IKBKB,PTGS2,0.077
IKBKB,JUN,0.282
IKBKB,HSP90AB1,0.656
IKBKB,PTPN1,0.078
IKBKB,SRC,0.836
IKBKB,PRKCZ,0.213
IKBKB,PRKCD,0.327
IKBKB,MAP3K1,0.686
IKBKB,PRKCA,0.285
IKBKB,PPP2CA,0.526
IKBKB,CASP1,0.103
IKBKB,NTRK1,0
IKBKB,MAP3K14,0.874
IL1B,MAPK1,0
IL1B,ATP12A,0
IL1B,RPS6KB1,0
IL1B,MAPK14,0
IL1B,NR3C1,0
IL1B,FLT3,0
IL1B,SIRT2,0
IL1B,MMP7,0.058
IL1B,CREBBP,0
IL1B,MAPK3,0
IL1B,IGF1R,0.056
IL1B,LCK,0.056
IL1B,PRKCA,0
IL1B,NR1I2,0
IL1B,NTRK1,0.056
IL1B,LRRK2,0.101
IL1B,PFKFB3,0
IL1B,MAPK9,0
IL1B,PARP1,0
IL1B,JAK3,0.056
IL1B,WNT3A,0
IL1B,MERTK,0.056
IL1B,DPP4,0
IL1B,PRKCD,0
IL1B,CASP7,0.056
IL1B,TYRO3,0.056
IL1B,GSK3B,0.056
IL1B,ADORA1,0
IL1B,ERN1,0.056
IL1B,PTPN1,0.27
IL1B,ADORA2B,0
IL1B,KIT,0
IL1B,ADORA3,0
IL1B,ADAM17,0
IL1B,PLA2G2A,0
IL1B,ITGAL,0
IL1B,ADORA2A,0
IL1B,ADRB2,0.213
IL1B,MAP2K1,0
IL1B,F2,0
IL1B,EIF2AK3,0
IL1B,REN,0
IL1B,ERBB2,0
IL1B,JAK1,0.056
IL1B,MTOR,0
IL1B,BCL2L1,0
IL1B,SRC,0.056
IL1B,CXCR1,0
IL1B,ALOX5,0
IL1B,SYK,0.056
IL1B,CSF1R,0
IL1B,MAPK8,0
IL1B,PTGES,0
IL1B,CCR1,0
IL1B,CXCR2,0
IL1B,IKBKB,0.056
IL1B,PPARG,0
IL1B,P2RX7,0
IL1B,MMP1,0.058
IL1B,NOS2,0
IL1B,MMP3,0.058
IL1B,CASP3,0.056
IL1B,TLR9,0
IL1B,PIK3CA,0
IL1B,MAPK11,0
IL1B,PTGS2,0
IL1B,TYK2,0.056
IL1B,JUN,0
IL1B,JAK2,0.056
IL1B,CASP8,0.182
IL1B,CASP1,0.773
IL6ST,MAPK1,0
IL6ST,MAPK3,0
IL6ST,PIK3CA,0
IL6ST,ERBB2,0.27
IL6ST,PIK3CB,0
IL6ST,MAP2K1,0
IL6ST,PTPN11,0.878
IL6ST,JAK1,0.879
IL6ST,PIK3CD,0
IL6ST,VAV1,0.27
IL6ST,JAK3,0.376
IL6ST,TYK2,0.281
IL6ST,JAK2,0.814
IMPDH1,MERTK,0
IMPDH1,IMPDH2,0.873
IMPDH1,PRPF4,0
IMPDH1,MTOR,0
IMPDH2,IARS,0
IMPDH2,MTOR,0
IMPDH2,IMPDH1,0.873
INSR,MAPK1,0.351
INSR,RPS6KB1,0.119
INSR,MAPK3,0.351
INSR,PIK3CA,0.146
INSR,IGF1R,0.854
INSR,ERBB2,0.246
INSR,PPARG,0.077
INSR,PIK3CB,0.146
INSR,GSK3B,0.056
INSR,GYS1,0.106
INSR,FASN,0
INSR,PIK3CG,0.143
INSR,JAK1,0.471
INSR,LCK,0
INSR,ATP2A1,0.074
INSR,PRKCD,0.526
INSR,JAK2,0.499
INSR,MTOR,0.104
INSR,SRC,0.302
INSR,ADRB2,0.225
INSR,PRKCB,0.061
INSR,PRKCE,0.117
INSR,PIK3CD,0.146
INSR,PPP2CA,0.117
INSR,PPP1CC,0.117
INSR,PRKCZ,0
INSR,PDPK1,0.145
INSR,PTPN11,0.866
INSR,PTPN1,0.985
ITGAL,IL1B,0
ITGAL,CXCR1,0
ITGAL,CCR1,0
ITGAL,CXCR2,0
ITGAL,LCK,0.075
ITGAL,SYK,0.109
ITGAL,SRC,0.075
ITGAL,VAV1,0
ITK,PRKCQ,0.117
ITK,PIK3CA,0.104
ITK,ERBB2,0.444
ITK,PIK3CB,0.104
ITK,CDC25C,0.072
ITK,LCK,0.213
ITK,PIK3CG,0.104
ITK,SRC,0.27
ITK,SYK,0
ITK,PIK3CD,0.104
ITK,VAV1,0.121
JAK1,MAPK1,0.148
JAK1,MAPK14,0.148
JAK1,MDM2,0.494
JAK1,PDGFRB,0.279
JAK1,MAPK3,0.148
JAK1,IL1B,0.056
JAK1,PIK3CA,0.104
JAK1,IGF1R,0.282
JAK1,ERBB2,0.302
JAK1,PIK3CB,0.104
JAK1,AXL,0.056
JAK1,MAP2K1,0.178
JAK1,BCL2L1,0
JAK1,INSR,0.471
JAK1,PRKCB,0.061
JAK1,PRKCE,0.117
JAK1,CASP3,0.063
JAK1,MAPK11,0.148
JAK1,LCK,0
JAK1,PTPN11,0.799
JAK1,TLR9,0.089
JAK1,MTOR,0.104
JAK1,PPP2CA,0.117
JAK1,JUN,0.057
JAK1,PIK3CD,0.104
JAK1,ALK,0
JAK1,MAP3K1,0.076
JAK1,PRKCD,0.117
JAK1,VAV1,0.056
JAK1,MAPK8,0.143
JAK1,MAPK9,0.143
JAK1,PRKCZ,0.292
JAK1,JAK2,0.27
JAK1,SYK,0.213
JAK1,TYK2,0.462
JAK1,JAK3,0.462
JAK1,PTPN1,0.148
JAK1,IL6ST,0.879
JAK2,MAPK1,0.148
JAK2,CDKN1B,0.345
JAK2,FLT3,0.122
JAK2,MDM2,0.056
JAK2,PDGFRB,0.279
JAK2,CREBBP,0.12
JAK2,MAPK3,0.148
JAK2,IL1B,0.056
JAK2,BRD4,0.12
JAK2,PIK3CA,0.104
JAK2,IGF1R,0.471
JAK2,ERBB2,0.32
JAK2,PPARG,0.077
JAK2,KIT,0.507
JAK2,BRAF,0.184
JAK2,PIK3CB,0.104
JAK2,CXCR1,0.056
JAK2,CCR1,0.056
JAK2,AXL,0.056
JAK2,MAP2K1,0.178
JAK2,BCL2L1,0
JAK2,INSR,0.499
JAK2,CASP3,0.063
JAK2,EDNRA,0.056
JAK2,CXCR2,0.056
JAK2,NOS2,0.077
JAK2,HDAC6,0.298
JAK2,LCK,0
JAK2,PTPN11,0.8
JAK2,JAK1,0.27
JAK2,CASP8,0.063
JAK2,PIK3CG,0.104
JAK2,MTOR,0.104
JAK2,PTGS2,0.077
JAK2,JUN,0.057
JAK2,HSP90AB1,0.362
JAK2,PTPN1,0.856
JAK2,SRC,0.345
JAK2,PIM2,0.136
JAK2,PIK3CD,0.104
JAK2,IL6ST,0.814
JAK2,VAV1,0.494
JAK2,ALK,0.27
JAK2,MAP3K1,0.076
JAK2,PRKCD,0.117
JAK2,TYK2,0.27
JAK2,JAK3,0.462
JAK3,MAPK1,0.148
JAK3,MAPK14,0.148
JAK3,PDGFRB,0.122
JAK3,MAPK3,0.148
JAK3,IL1B,0.056
JAK3,PIK3CA,0.104
JAK3,ERBB2,0.107
JAK3,KIT,0.331
JAK3,PIK3CB,0.104
JAK3,CXCR1,0.056
JAK3,CCR1,0.056
JAK3,MAP2K1,0.178
JAK3,BCL2L1,0
JAK3,PRKCB,0.061
JAK3,PRKCE,0.117
JAK3,CXCR2,0.056
JAK3,MAPK11,0.148
JAK3,LCK,0.213
JAK3,PTPN11,0.183
JAK3,JAK1,0.462
JAK3,JUN,0.057
JAK3,PTPN1,0.152
JAK3,SYK,0
JAK3,PIK3CD,0.104
JAK3,PRKCZ,0.108
JAK3,IL6ST,0.376
JAK3,JAK2,0.462
JAK3,ALK,0.486
JAK3,MAPK8,0.143
JAK3,MAPK9,0.143
JAK3,TYK2,0.27
JUN,MAPK1,0.867
JUN,GSK3A,0.057
JUN,RPS6KB1,0
JUN,CDKN1B,0
JUN,MAPK14,0.4
JUN,NR3C1,0.493
JUN,SIRT2,0.058
JUN,MDM2,0.063
JUN,MMP7,0
JUN,PDGFRB,0.076
JUN,CREBBP,0.887
JUN,MAPK3,0.5
JUN,PRKCQ,0
JUN,IL1B,0
JUN,BRD4,0.245
JUN,PIK3CA,0.128
JUN,CDK2,0.239
JUN,IGF1R,0.057
JUN,ERBB2,0.139
JUN,REN,0
JUN,PAK1,0
JUN,PDCD4,0
JUN,WNT3A,0
JUN,CSF1R,0.076
JUN,PPARG,0.066
JUN,KIT,0.076
JUN,MMP3,0
JUN,MAP2K1,0
JUN,BCL2L1,0
JUN,EIF2AK3,0
JUN,PPARD,0.066
JUN,CASP3,0.057
JUN,PRKDC,0.365
JUN,CDC25C,0
JUN,MMP1,0.628
JUN,GSK3B,0.691
JUN,PGR,0.066
JUN,NOS2,0
JUN,MAPK11,0.354
JUN,HDAC6,0.117
JUN,NR1I2,0.066
JUN,LCK,0.057
JUN,PTPN11,0
JUN,JAK1,0.057
JUN,RET,0.151
JUN,CASP8,0.057
JUN,MAPK10,0.961
JUN,TLR9,0
JUN,MTOR,0.128
JUN,PARP1,0.299
JUN,PTGS2,0
JUN,CASP7,0.057
JUN,CYP19A1,0.061
JUN,ALK,0.139
JUN,PRKCZ,0.057
JUN,CDK8,0.154
JUN,ABCB1,0.058
JUN,JAK3,0.057
JUN,HSP90AB1,0.094
JUN,PPP2CA,0.129
JUN,RPS6KA5,0
JUN,PTPN1,0.129
JUN,CHEK1,0.129
JUN,RPS6KA3,0
JUN,NTRK1,0.057
JUN,CASP1,0.057
JUN,PRKCD,0
JUN,PRKCA,0
JUN,JAK2,0.057
JUN,VAV1,0.27
JUN,CDK1,0.281
JUN,ERN1,0.057
JUN,IKBKB,0.282
JUN,MAP3K1,0.502
JUN,HDAC2,0.273
JUN,SRC,0.057
JUN,SYK,0.057
JUN,HDAC1,0.476
JUN,AR,0.499
JUN,MAPK8,0.998
JUN,MAPK9,0.982
KCNA3,KCNK3,0
KCNA3,LCK,0
KCNA3,KCNJ1,0
KCNA3,SCN9A,0.165
KCNJ1,REN,0
KCNJ1,KCNK3,0
KCNJ1,OXSR1,0
KCNJ1,STK39,0
KCNJ1,NR3C2,0
KCNJ1,KCNA3,0
KCNK3,REN,0
KCNK3,KCNJ1,0
KCNK3,KCNA3,0
KIT,RPS6KB1,0.152
KIT,CDKN1B,0
KIT,MDM2,0
KIT,FLT4,0.395
KIT,IL1B,0
KIT,PIK3CA,0.345
KIT,ERBB2,0.243
KIT,WNT3A,0.068
KIT,RET,0.213
KIT,ROS1,0.259
KIT,NTRK1,0.165
KIT,ABCB1,0
KIT,AR,0.057
KIT,MERTK,0.397
KIT,JUN,0.076
KIT,JAK3,0.331
KIT,PCSK7,0
KIT,BCL2L1,0
KIT,PGR,0.057
KIT,AXL,0.392
KIT,TERT,0
KIT,ALK,0.392
KIT,CASP3,0
KIT,MTOR,0.097
KIT,CHEK1,0.057
KIT,LCK,0.429
KIT,PIK3CG,0.698
KIT,SRC,0.434
KIT,PRKCA,0.213
KIT,PIK3CB,0.101
KIT,PIK3CD,0.101
KIT,MAPK8,0.127
KIT,VAV1,0.152
KIT,JAK2,0.507
KIT,PTPN11,0.631
LCK,MAPK1,0.713
LCK,MAPK14,0.148
LCK,STK38,0.151
LCK,NR3C1,0.297
LCK,FLT3,0.201
LCK,PDGFRB,0.122
LCK,MAPK3,0.3
LCK,PRKCQ,0.706
LCK,IL1B,0.056
LCK,PIK3CA,0.699
LCK,PAK1,0.076
LCK,KIT,0.429
LCK,PIK3CB,0.104
LCK,MAP2K1,0.178
LCK,BCL2L1,0
LCK,INSR,0
LCK,PRKCB,0.061
LCK,PRKCE,0.117
LCK,CASP3,0.063
LCK,CDC25C,0.238
LCK,MAPK11,0.148
LCK,PIK3CD,0.104
LCK,MTOR,0.104
LCK,JUN,0.057
LCK,ITGAL,0.075
LCK,KCNA3,0
LCK,PDPK1,0.145
LCK,PIK3CG,0.104
LCK,SRC,0
LCK,TYK2,0
LCK,PRKCZ,0.056
LCK,JAK1,0
LCK,JAK2,0
LCK,PPP2CA,0.117
LCK,MAPK9,0.143
LCK,MAPK8,0.143
LCK,JAK3,0.213
LCK,PRKCD,0.275
LCK,PTPN11,0.243
LCK,ITK,0.213
LCK,SYK,0.787
LCK,VAV1,0.47
LIMK2,PAK1,0.122
LRRK2,MAPK1,0.433
LRRK2,GSK3A,0.335
LRRK2,STK38,0.213
LRRK2,TRAP1,0.428
LRRK2,MAPK3,0.433
LRRK2,IL1B,0.101
LRRK2,CDK2,0.536
LRRK2,REN,0.102
LRRK2,PIK3CB,0.353
LRRK2,PTGS2,0.297
LRRK2,PTPN1,0.432
LRRK2,PTPN11,0.432
LRRK2,PPP1CC,0.342
LRRK2,MAP2K1,0.433
LRRK2,PPP2CA,0.428
LRRK2,CASP3,0.326
LRRK2,SF3B3,0.578
LRRK2,CASP8,0.326
LRRK2,MTOR,0.353
LRRK2,HDAC6,0.519
LRRK2,PRKDC,0.712
LRRK2,GSK3B,0.532
LRRK2,HSP90AB1,0.806
MAK,AR,0.27
MAP2K1,MAPK1,0.974
MAP2K1,CDKN1B,0
MAP2K1,MAPK14,0.603
MAP2K1,CDC25B,0.309
MAP2K1,MDM2,0
MAP2K1,MAPK3,0.963
MAP2K1,IL1B,0
MAP2K1,BRD4,0.224
MAP2K1,PIK3CA,0.152
MAP2K1,IGF1R,0.233
MAP2K1,ERBB2,0.285
MAP2K1,PAK1,0.616
MAP2K1,PPARG,0.501
MAP2K1,BRAF,0.993
MAP2K1,PIK3CB,0.067
MAP2K1,LRRK2,0.433
MAP2K1,RPS6KA3,0.245
MAP2K1,PRKCZ,0.325
MAP2K1,MAP3K14,0.343
MAP2K1,CASP8,0.058
MAP2K1,PTGS2,0
MAP2K1,PTPN1,0.225
MAP2K1,CDC25C,0.309
MAP2K1,CDC25A,0.309
MAP2K1,VAV1,0.27
MAP2K1,BCL2L1,0
MAP2K1,CASP3,0.058
MAP2K1,JAK2,0.178
MAP2K1,MTOR,0.162
MAP2K1,JUN,0
MAP2K1,MAPK10,0
MAP2K1,GSK3B,0.178
MAP2K1,MAPK8,0
MAP2K1,MAPK9,0
MAP2K1,IL6ST,0
MAP2K1,F2,0.147
MAP2K1,TYK2,0.178
MAP2K1,JAK3,0.178
MAP2K1,CDK1,0.103
MAP2K1,JAK1,0.178
MAP2K1,MAPK11,0.517
MAP2K1,LCK,0.178
MAP2K1,PRKCD,0.21
MAP2K1,PIK3CG,0.067
MAP2K1,SRC,0.317
MAP2K1,PPP2CA,0.168
MAP2K1,PTPN11,0.429
MAP2K1,MAP3K1,0.777
MAP3K1,MAPK1,0.873
MAP3K1,MAPK14,0.246
MAP3K1,STK38,0.599
MAP3K1,MAPK3,0.746
MAP3K1,PIK3CA,0.068
MAP3K1,PAK1,0.416
MAP3K1,BRAF,0.505
MAP3K1,PIK3CB,0.068
MAP3K1,MAP2K1,0.777
MAP3K1,CASP3,0
MAP3K1,GSK3B,0.324
MAP3K1,PGR,0
MAP3K1,MAPK11,0.246
MAP3K1,JAK1,0.076
MAP3K1,CASP8,0
MAP3K1,MAPK10,0.105
MAP3K1,CASP7,0
MAP3K1,JUN,0.502
MAP3K1,JAK2,0.076
MAP3K1,MAPK8,0.885
MAP3K1,VAV1,0
MAP3K1,MAPK9,0.527
MAP3K1,IKBKB,0.686
MAP3K14,MAPK1,0.246
MAP3K14,PSMB1,0
MAP3K14,MAPK3,0.381
MAP3K14,PAK1,0.233
MAP3K14,CSF1R,0
MAP3K14,MAP2K1,0.343
MAP3K14,CASP3,0.393
MAP3K14,CASP8,0.486
MAP3K14,PSMB5,0
MAP3K14,ADORA3,0
MAP3K14,HSP90AB1,0.38
MAP3K14,PSMB2,0
MAP3K14,PSMB8,0
MAP3K14,IKBKB,0.874
MAP3K6,HSP90AB1,0.425
MAPK1,MMP3,0
MAPK1,PDE4D,0.27
MAPK1,TNKS2,0.34
MAPK1,MDM2,0
MAPK1,IL1B,0
MAPK1,PIK3CB,0.114
MAPK1,CDC25B,0.323
MAPK1,PIK3CG,0.114
MAPK1,INSR,0.351
MAPK1,PDE10A,0
MAPK1,TRAP1,0.373
MAPK1,CDC25A,0.338
MAPK1,PTGS2,0.176
MAPK1,ERBB2,0.318
MAPK1,CHEK1,0.355
MAPK1,LRRK2,0.433
MAPK1,ALK,0.377
MAPK1,MAPK10,0.056
MAPK1,MAPK9,0.056
MAPK1,HDAC6,0.495
MAPK1,PTPN1,0.382
MAPK1,GSK3B,0.351
MAPK1,PIK3CA,0.114
MAPK1,CDC25C,0.492
MAPK1,PLA2G2A,0
MAPK1,PPP1CC,0.366
MAPK1,AR,0.497
MAPK1,CREBBP,0.526
MAPK1,RET,0.616
MAPK1,VAV1,0.494
MAPK1,MTOR,0.284
MAPK1,PAK1,0.616
MAPK1,PARP1,0.27
MAPK1,PPARG,0.699
MAPK1,MAPK11,0
MAPK1,PRKCG,0.213
MAPK1,MAP3K1,0.873
MAPK1,CASP3,0.057
MAPK1,F2,0.056
MAPK1,TYK2,0.148
MAPK1,JAK3,0.148
MAPK1,TERT,0
MAPK1,IL6ST,0
MAPK1,NTRK1,0.167
MAPK1,PDPK1,0.068
MAPK1,PRKCQ,0.249
MAPK1,JAK2,0.148
MAPK1,PRKCH,0.249
MAPK1,MAPK8,0.225
MAPK1,MAP3K14,0.246
MAPK1,CDK2,0.235
MAPK1,JAK1,0.148
MAPK1,PRKCB,0.213
MAPK1,CDKN1B,0.057
MAPK1,PRKCZ,0.3
MAPK1,PPP2CA,0.534
MAPK1,IGF1R,0.148
MAPK1,RPS6KA5,0.319
MAPK1,PRKCA,0.275
MAPK1,HSP90AB1,0.227
MAPK1,NR3C1,0.264
MAPK1,PGR,0.317
MAPK1,BCL2L1,0
MAPK1,PRKCD,0.383
MAPK1,PRKCE,0.428
MAPK1,RPS6KB1,0.309
MAPK1,SRC,0.351
MAPK1,CASP8,0.282
MAPK1,PTPN11,0.349
MAPK1,MAPK14,0.874
MAPK1,LCK,0.713
MAPK1,BRAF,0.835
MAPK1,MAPK3,0.887
MAPK1,MKNK2,0.884
MAPK1,RPS6KA3,0.899
MAPK1,JUN,0.867
MAPK1,MAP2K1,0.974
MAPK10,MAPK1,0.056
